feature type = k=10, feature = telephone, log-likelihood score = 3.95124, sense = phone
feature type = k=10, feature = guard, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = clamor, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = although, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = enormously, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = fueling, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = explosive, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = pizza, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = seafood, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = hefty, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = introductory, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = green, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = giant, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = vegetable, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = cray, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = wide, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = linked, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = cray's, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = rest, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = receiving, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = arrangements, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = largely, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = reflects, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = attempt, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = tape, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = guba's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = 911, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = emergency, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = played, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = trial, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = baby, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = sitter, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = lookout, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = reasonably, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = bull, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = dpx/2, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = unix, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = add, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = host, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = huge, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = consumers, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = face, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = ear, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = nothing, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = suit, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = styles, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = hart, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = schaffner, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = marx, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = further, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = going, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = noxell, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = historically, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = vendor, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = them's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = crackle, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = aged, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = chuckle, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = devices, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = basically, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = replace, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = existing, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = space, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = require, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = intends, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = provide, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = voted, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = halloween, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = gifts, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = novelties, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = amount, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = short, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = obligations, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = optometric, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = garner, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = recent, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = coffee, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = costly, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = acquisitions, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = wait, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = o'dwyer, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = sarah, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = energy, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = reebok, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = etonic, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = dynamic, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = reaction, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = horses', log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = skins, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = hoofs, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = jockey, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = silks, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = aeroform, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = blocking, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = abuse, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = sex, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = realizing, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = john, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = carl, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = warnecke, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = architect, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = promises, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = 400, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = blankets, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = image, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = lot, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = pressure, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = {product}, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = boost, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = suggested, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = entry, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = level, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = fox, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = stouffer, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = dinner, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = supreme, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = mother's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = pictures, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = ordinary, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = user, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = sits, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = front, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = frames, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = atlantic, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = region, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = wilkens's, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = congressional, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = committee, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = worry, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = ezoe, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = looked, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = diversify, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = recruit, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = began, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = renting, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = tie, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = together, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = discovered, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = unglamorous, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = sturdy, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = 3x, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = 275, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = again, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = internally, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = entrees, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = lasagna, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = meat, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = seem, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = wall, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = street, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = brokers, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = tips, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = multiple, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = bet, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = future, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = hormel, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = carries, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = risk, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = profusion, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = sending, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = transmitted, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = noise, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = really, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = anymore, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = laments, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = steve, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = segal, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = dealership's, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = believe, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = estee, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = lauder, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = cosmair, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = lancome, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = follow, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = archrival, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = chanel's, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = lead, log-likelihood score = 0.69315, sense = product
feature type = k=10, feature = function, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = renamed, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = master, log-likelihood score = 0.69315, sense = phone
feature type = k=10, feature = he, log-likelihood score = 0.62861, sense = phone
feature type = k=3, feature = that, log-likelihood score = 0.60614, sense = phone
feature type = +1, feature = in, log-likelihood score = 0.58779, sense = phone
feature type = k=10, feature = through, log-likelihood score = 0.58779, sense = phone
feature type = k=10, feature = is, log-likelihood score = 0.57982, sense = product
feature type = k=5, feature = through, log-likelihood score = 0.55962, sense = phone
feature type = k=10, feature = customers, log-likelihood score = 0.55962, sense = phone
feature type = k=10, feature = only, log-likelihood score = 0.55962, sense = phone
feature type = k=10, feature = their, log-likelihood score = 0.55962, sense = phone
feature type = k=10, feature = high, log-likelihood score = 0.55962, sense = product
feature type = k=10, feature = are, log-likelihood score = 0.539, sense = product
feature type = k=3, feature = the, log-likelihood score = 0.51083, sense = phone
feature type = k=3, feature = recently, log-likelihood score = 0.51083, sense = product
feature type = k=3, feature = other, log-likelihood score = 0.51083, sense = product
feature type = k=5, feature = most, log-likelihood score = 0.51083, sense = product
feature type = k=5, feature = for, log-likelihood score = 0.51083, sense = product
feature type = k=5, feature = million, log-likelihood score = 0.51083, sense = phone
feature type = k=5, feature = had, log-likelihood score = 0.51083, sense = phone
feature type = k=10, feature = first, log-likelihood score = 0.51083, sense = product
feature type = k=10, feature = total, log-likelihood score = 0.51083, sense = phone
feature type = k=10, feature = more, log-likelihood score = 0.51083, sense = product
feature type = k=10, feature = an, log-likelihood score = 0.51083, sense = product
feature type = k=10, feature = system, log-likelihood score = 0.51083, sense = phone
feature type = k=10, feature = don't, log-likelihood score = 0.51083, sense = phone
feature type = k=10, feature = now, log-likelihood score = 0.51083, sense = phone
feature type = k=10, feature = we, log-likelihood score = 0.51083, sense = product
feature type = k=10, feature = office, log-likelihood score = 0.51083, sense = phone
feature type = k=10, feature = if, log-likelihood score = 0.51083, sense = phone
feature type = k=10, feature = number, log-likelihood score = 0.51083, sense = phone
feature type = k=10, feature = month, log-likelihood score = 0.51083, sense = product
feature type = k=10, feature = have, log-likelihood score = 0.48551, sense = phone
feature type = k=10, feature = from, log-likelihood score = 0.47957, sense = product
feature type = k=3, feature = with, log-likelihood score = 0.47, sense = product
feature type = k=10, feature = with, log-likelihood score = 0.42488, sense = product
feature type = k=10, feature = for, log-likelihood score = 0.42488, sense = product
feature type = +1, feature = have, log-likelihood score = 0.40547, sense = product
feature type = +1, feature = that, log-likelihood score = 0.40547, sense = phone
feature type = +1, feature = making, log-likelihood score = 0.40547, sense = phone
feature type = +1, feature = he, log-likelihood score = 0.40547, sense = product
feature type = +1, feature = into, log-likelihood score = 0.40547, sense = product
feature type = +1, feature = will, log-likelihood score = 0.40547, sense = product
feature type = +1, feature = with, log-likelihood score = 0.40547, sense = product
feature type = +1, feature = they, log-likelihood score = 0.40547, sense = phone
feature type = +1, feature = last, log-likelihood score = 0.40547, sense = product
feature type = -1, feature = his, log-likelihood score = 0.40547, sense = product
feature type = +1 & +2, feature = in the, log-likelihood score = 0.40547, sense = product
feature type = k=3, feature = three, log-likelihood score = 0.40547, sense = product
feature type = k=3, feature = making, log-likelihood score = 0.40547, sense = phone
feature type = k=3, feature = so, log-likelihood score = 0.40547, sense = phone
feature type = k=3, feature = this, log-likelihood score = 0.40547, sense = product
feature type = k=3, feature = first, log-likelihood score = 0.40547, sense = phone
feature type = k=3, feature = most, log-likelihood score = 0.40547, sense = product
feature type = k=3, feature = were, log-likelihood score = 0.40547, sense = phone
feature type = k=3, feature = be, log-likelihood score = 0.40547, sense = phone
feature type = k=3, feature = had, log-likelihood score = 0.40547, sense = product
feature type = k=3, feature = than, log-likelihood score = 0.40547, sense = phone
feature type = k=3, feature = because, log-likelihood score = 0.40547, sense = product
feature type = k=3, feature = last, log-likelihood score = 0.40547, sense = product
feature type = k=3, feature = says, log-likelihood score = 0.40547, sense = phone
feature type = k=3, feature = consumer, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = 4, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = would, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = u, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = been, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = long, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = company, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = between, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = mr, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = making, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = costs, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = may, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = not, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = but, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = such, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = one, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = this, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = lines, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = out, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = added, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = 10, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = two, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = called, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = all, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = are, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = 15, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = office, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = because, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = can, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = consumer, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = there, log-likelihood score = 0.40547, sense = phone
feature type = k=5, feature = spokesman, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = after, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = business, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = four, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = small, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = part, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = would, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = control, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = help, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = u, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = may, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = enough, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = 4%, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = strong, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = ii, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = either, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = vice, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = our, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = these, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = costs, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = so, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = operations, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = change, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = eventually, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = but, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = need, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = networks, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = model, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = i, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = west, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = might, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = gave, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = area, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = early, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = billion, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = annual, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = during, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = continue, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = air, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = lines, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = low, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = american, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = mrs, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = $5, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = lost, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = instance, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = own, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = tried, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = take, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = called, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = including, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = program, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = put, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = say, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = power, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = next, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = world, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = camera, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = perhaps, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = dealer, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = minute, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = makes, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = jumped, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = run, log-likelihood score = 0.40547, sense = product
feature type = k=10, feature = orders, log-likelihood score = 0.40547, sense = phone
feature type = k=10, feature = expansion, log-likelihood score = 0.40547, sense = product
feature type = k=5, feature = the, log-likelihood score = 0.39665, sense = phone
feature type = +1, feature = and, log-likelihood score = 0.37469, sense = phone
feature type = k=3, feature = in, log-likelihood score = 0.34831, sense = phone
feature type = k=5, feature = 2, log-likelihood score = 0.33647, sense = product
feature type = k=10, feature = growth, log-likelihood score = 0.33647, sense = phone
feature type = k=10, feature = mr, log-likelihood score = 0.33647, sense = product
feature type = k=10, feature = could, log-likelihood score = 0.33647, sense = product
feature type = k=10, feature = they, log-likelihood score = 0.33647, sense = phone
feature type = k=10, feature = this, log-likelihood score = 0.33647, sense = product
feature type = k=10, feature = new, log-likelihood score = 0.32277, sense = product
feature type = k=3, feature = to, log-likelihood score = 0.31845, sense = phone
feature type = k=10, feature = about, log-likelihood score = 0.31845, sense = phone
feature type = +1, feature = at, log-likelihood score = 0.28768, sense = phone
feature type = k=3, feature = 2, log-likelihood score = 0.28768, sense = product
feature type = k=3, feature = their, log-likelihood score = 0.28768, sense = phone
feature type = k=3, feature = still, log-likelihood score = 0.28768, sense = product
feature type = k=3, feature = they, log-likelihood score = 0.28768, sense = phone
feature type = k=5, feature = first, log-likelihood score = 0.28768, sense = product
feature type = k=5, feature = at, log-likelihood score = 0.28768, sense = product
feature type = k=5, feature = based, log-likelihood score = 0.28768, sense = phone
feature type = k=5, feature = their, log-likelihood score = 0.28768, sense = phone
feature type = k=5, feature = into, log-likelihood score = 0.28768, sense = product
feature type = k=5, feature = they, log-likelihood score = 0.28768, sense = phone
feature type = k=5, feature = his, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = 4, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = them, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = $1, log-likelihood score = 0.28768, sense = product
feature type = k=10, feature = be, log-likelihood score = 0.28768, sense = product
feature type = k=10, feature = long, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = making, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = not, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = name, log-likelihood score = 0.28768, sense = product
feature type = k=10, feature = her, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = acquired, log-likelihood score = 0.28768, sense = product
feature type = k=10, feature = great, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = out, log-likelihood score = 0.28768, sense = product
feature type = k=10, feature = line, log-likelihood score = 0.28768, sense = phone
feature type = k=10, feature = sellers, log-likelihood score = 0.28768, sense = product
feature type = k=10, feature = do, log-likelihood score = 0.28768, sense = phone
feature type = k=3, feature = new, log-likelihood score = 0.26826, sense = product
feature type = k=10, feature = been, log-likelihood score = 0.25131, sense = phone
feature type = k=3, feature = for, log-likelihood score = 0.24116, sense = product
feature type = k=5, feature = new, log-likelihood score = 0.23639, sense = product
feature type = k=10, feature = the, log-likelihood score = 0.22826, sense = phone
feature type = k=3, feature = at, log-likelihood score = 0.22314, sense = phone
feature type = k=3, feature = through, log-likelihood score = 0.22314, sense = phone
feature type = k=5, feature = recently, log-likelihood score = 0.22314, sense = product
feature type = k=5, feature = still, log-likelihood score = 0.22314, sense = phone
feature type = k=10, feature = president, log-likelihood score = 0.22314, sense = phone
feature type = k=10, feature = s, log-likelihood score = 0.22314, sense = product
feature type = k=10, feature = company, log-likelihood score = 0.22314, sense = phone
feature type = k=10, feature = such, log-likelihood score = 0.22314, sense = product
feature type = k=10, feature = just, log-likelihood score = 0.22314, sense = product
feature type = k=10, feature = two, log-likelihood score = 0.22314, sense = product
feature type = k=5, feature = that, log-likelihood score = 0.20764, sense = phone
feature type = k=10, feature = that, log-likelihood score = 0.20067, sense = phone
feature type = k=10, feature = has, log-likelihood score = 0.19416, sense = phone
feature type = k=5, feature = a, log-likelihood score = 0.1861, sense = product
feature type = k=5, feature = with, log-likelihood score = 0.18232, sense = phone
feature type = k=5, feature = have, log-likelihood score = 0.18232, sense = product
feature type = k=10, feature = says, log-likelihood score = 0.18232, sense = phone
feature type = k=10, feature = recently, log-likelihood score = 0.18232, sense = product
feature type = k=10, feature = into, log-likelihood score = 0.18232, sense = product
feature type = k=5, feature = in, log-likelihood score = 0.17435, sense = phone
feature type = k=10, feature = and, log-likelihood score = 0.16814, sense = product
feature type = k=10, feature = which, log-likelihood score = 0.16705, sense = product
feature type = k=10, feature = in, log-likelihood score = 0.16363, sense = product
feature type = k=5, feature = be, log-likelihood score = 0.15415, sense = product
feature type = k=10, feature = 2, log-likelihood score = 0.15415, sense = product
feature type = k=3, feature = and, log-likelihood score = 0.12783, sense = product
feature type = k=5, feature = by, log-likelihood score = 0.11778, sense = product
feature type = k=10, feature = were, log-likelihood score = 0.11778, sense = product
feature type = k=10, feature = by, log-likelihood score = 0.11123, sense = phone
feature type = k=5, feature = has, log-likelihood score = 0.10536, sense = phone
feature type = k=10, feature = than, log-likelihood score = 0.10536, sense = product
feature type = k=10, feature = a, log-likelihood score = 0.09531, sense = product
feature type = k=10, feature = at, log-likelihood score = 0.08004, sense = phone
feature type = k=5, feature = and, log-likelihood score = 0.07062, sense = product
feature type = k=10, feature = million, log-likelihood score = 0.06454, sense = phone
feature type = k=10, feature = to, log-likelihood score = 0.04879, sense = phone
feature type = k=5, feature = to, log-likelihood score = 0.04652, sense = product
feature type = +1, feature = but, log-likelihood score = 0.0, sense = phone
feature type = +1, feature = for, log-likelihood score = 0.0, sense = phone
feature type = +1, feature = called, log-likelihood score = 0.0, sense = phone
feature type = +1, feature = because, log-likelihood score = 0.0, sense = phone
feature type = +1, feature = so, log-likelihood score = 0.0, sense = phone
